State,Year,HLp,EIr,PerTscr,Dr,state_per_capita_fund,drinks_per_capita,Health_care_expenditure,age_under5,Total_population,uninsured_under18_rate,Median_household_income,under18_poverty_rate,F_income_below_poverty_rate,Per_rep_women_uninsured,Per_women_breastfed,EI,TDia,EIrd
Vermont,2019,3.3080365829928,2.7242654212881883,98.96013864818023,8.561977038334307,49.2,684.78998,12159,29021,623989,20.91663856369739,63001,101.83152819258034,58.21213809532958,0.053246,0.918,14,44,318.1818181818182
Virginia,2019,1.1213112005365526,0.5868544600938967,97.97125256673512,9.735496311200537,39.6,470.94,8826,499906,8535519,48.886116998846305,76456,134.18714645858736,65.25893382688162,0.101985,0.833,56,929,60.279870828848225
Washington,2019,1.95183867993438,1.4010130401982972,99.54228499910602,7.268503550430483,45.62,483.42001,8964,455283,7614893,30.808684583822437,78687,120.47011051471364,62.30296309514705,0.085707,0.937,117,607,192.7512355848435
West Virginia,2019,0.5399276496949409,0.3239565898169645,97.90664481683142,18.735489444414448,58.74,396.73001,11951,91548,1792147,35.24815488708776,48850,201.3779170659691,111.34137631995102,0.075067,0.598,6,347,17.29106628242075
Wisconsin,2019,1.665777174000938,0.873320071806317,98.39282020272742,5.708925654585739,17.38,646.28998,9652,327258,5822434,37.7160213327225,64168,135.10169404087108,62.091698886346386,0.073053,0.875,54,353,152.97450424929178
Wyoming,2019,3.084832904884319,2.056555269922879,98.59749915511998,5.655526992287918,50.44,619.38,10111,33098,578759,106.37629786758959,65003,115.67802132928522,66.22442904899286,0.18399,0.924,12,33,363.6363636363636
Alaska,2020,1.5878416695020985,0.7939208347510491,93.72807483788668,7.93920834751049,215.15,612.71002,13642,NA,NA,NA,NA,NA,NA,NA,0.922,7,70,100
Arizona,2020,2.458255423199132,1.686781646769617,98.54267601278218,7.230932175686808,24.34,510.44,8756,NA,NA,NA,NA,NA,NA,NA,0.797,129,553,233.2730560578662
Arkansas,2020,1.723728007608179,0.9213029006181646,98.80197322057788,5.052306229196386,45.9,426.66,9338,NA,NA,NA,NA,NA,NA,NA,0.748,31,170,182.35294117647058
California,2020,2.1901571759855707,1.6991341465193277,99.5455689341438,4.343852245822658,69.87,572.87,10299,NA,NA,NA,NA,NA,NA,NA,0.89,699,1787,391.15836597649695
Connecticut,2020,2.620439427534771,1.7853543352434704,99.16333523700742,10.596941860799957,35.01,531.97998,12489,NA,NA,NA,NA,NA,NA,NA,0.845,62,368,168.47826086956522
Florida,2020,1.3310210485919838,0.8646779074794638,98.19313601564548,39.2456899692505,19.59,598.96002,9865,NA,NA,NA,NA,NA,NA,NA,0.827,178,8079,22.032429756157942
Georgia,2020,1.802315346505604,0.99756058713566,96.74308838914256,7.536193007016455,27.78,422.85999,8758,NA,NA,NA,NA,NA,NA,NA,0.849,119,899,132.36929922135707
Hawaii,2020,3.291171915332989,1.6778523489932886,98.62525458248471,12.777490965410427,125.62,576.12,10291,NA,NA,NA,NA,NA,NA,NA,0.892,26,198,131.31313131313132
Idaho,2020,3.367331999414377,1.317651651944756,94.06445097319134,31.916451124884095,84.95,451.32999,8148,NA,NA,NA,NA,NA,NA,NA,0.878,27,654,41.284403669724774
Indiana,2020,2.425497703953016,1.6624197746194829,97.89371181602328,40.620273345415406,15,508.54999,10517,NA,NA,NA,NA,NA,NA,NA,0.781,122,2981,40.925863804092586
Iowa,2020,1.752897936104043,0.8764489680520215,98.32100961805747,9.160305343511451,85.37,550.35999,9789,NA,NA,NA,NA,NA,NA,NA,0.827,31,324,95.67901234567901
Kansas,2020,1.491739142672183,1.210278927073658,99.0410615225936,15.56474992259844,14.73,468.70999,9408,NA,NA,NA,NA,NA,NA,NA,0.862,43,553,77.75768535262206
Kentucky,2020,1.350284598446134,0.24928331048236324,97.9449825018312,17.512152561386014,35.89,463.66,10257,NA,NA,NA,NA,NA,NA,NA,0.745,12,843,14.234875444839856
Louisiana,2020,1.4385678258089725,0.9590452172059816,98.5973698495806,8.258444925940397,25.58,570.5,10515,NA,NA,NA,NA,NA,NA,NA,0.696,54,465,116.12903225806453
Maine,2020,2.742481031172868,1.828320687448579,96.80530973451329,27.33339427735625,33.82,650.44,12077,NA,NA,NA,NA,NA,NA,NA,0.861,20,299,66.8896321070234
Maryland,2020,1.3641718856575928,0.9766230545048676,98.37435568975508,10.4948223476158,45.07,457.28,10839,NA,NA,NA,NA,NA,NA,NA,0.861,63,677,93.0576070901034
Massachusetts,2020,2.2840656368335637,1.9083969465648851,99.01060806689182,17.95696339484282,86.76,554.21997,13319,NA,NA,NA,NA,NA,NA,NA,0.885,127,1195,106.27615062761505
Michigan,2020,1.844012412384625,1.0112326132431817,98.927040731260007,5.016506885304411,17.3,546,9897,NA,NA,NA,NA,NA,NA,NA,0.828,102,506,201.5810276679842
Missouri,2020,1.7108264607825934,1.2867754576826345,97.60372215165484,10.133356729250746,7.06,585.22998,9921,NA,NA,NA,NA,NA,NA,NA,0.806,88,693,126.98412698412697
Montana,2020,0.8610792192881744,0.7654037504783774,96.5988909426987,3.5399923459624953,18.91,731.83002,10212,NA,NA,NA,NA,NA,NA,NA,0.88,8,37,216.21621621621622
Nebraska,2020,2.740398380301853,1.7587631395967116,98.93974343409818,7.607673115464845,40.9,478.31,10514,NA,NA,NA,NA,NA,NA,NA,0.867,43,186,231.1827956989247
Nevada,2020,1.2438197705152525,0.901769333623558,96.69262455275263,5.503902484529991,12.19,749.71997,8348,NA,NA,NA,NA,NA,NA,NA,0.75,29,177,163.8418079096045
New Jersey,2020,1.040405970656305,0.5414357602395057,98.66862200806578,3.705119222031127,31.25,541.65002,11868,NA,NA,NA,NA,NA,NA,NA,0.866,51,349,146.13180515759313
New Mexico,2020,1.7971351551350494,1.162852159205032,92.25180417398089,15.751361065595434,151.15,509.97,8902,NA,NA,NA,NA,NA,NA,NA,0.88,22,298,73.8255033557047
North Carolina,2020,2.0823063455098674,1.3428751126145269,99.00371922384342,5.787961719560081,15.05,514.48999,8917,NA,NA,NA,NA,NA,NA,NA,0.814,158,681,232.01174743024964
North Dakota,2020,1.6672516672516673,1.1407511407511408,98.71794871794872,10.617760617760617,61.44,705.25,11301,NA,NA,NA,NA,NA,NA,NA,0.876,13,121,107.43801652892563
Ohio,2020,2.320148994602102,1.160074497301051,97.46559906469452,34.01306859433694,15.8,467.53,10478,NA,NA,NA,NA,NA,NA,NA,0.756,147,4310,34.10672853828306
Oklahoma,2020,1.6678004783954004,1.272795101933332,99.2248230811105,1.6678004783954004,55.89,414.20999,9444,NA,NA,NA,NA,NA,NA,NA,0.788,58,76,763.1578947368422
Oregon,2020,2.043545172439892,1.538966117516462,98.42322208978943,30.14859853167495,35.11,591.46997,10071,NA,NA,NA,NA,NA,NA,NA,0.936,61,1195,51.046025104602506
Pennsylvania,2020,1.397108456430623,0.9418708695037912,97.8743671882802,5.439304271384393,14.99,511.54001,11603,NA,NA,NA,NA,NA,NA,NA,0.793,120,693,173.16017316017314
Rhode Island,2020,2.1842355175688506,1.519468186134853,98.9010989010989,23.36182336182336,59.16,561.09003,11694,NA,NA,NA,NA,NA,NA,NA,0.821,16,246,65.04065040650407
South Carolina,2020,2.109164021998384,1.8529104492322248,97.40975422427034,6.071238493228992,27.51,478.29001,8766,NA,NA,NA,NA,NA,NA,NA,0.787,94,308,305.1948051948052
South Dakota,2020,2.1828103683492497,0.2728512960436562,94.58878183069513,6.639381537062301,36.04,525.57001,12495,NA,NA,NA,NA,NA,NA,NA,0.864,3,73,41.0958904109589
Tennessee,2020,1.916649696330814,1.0421782723798798,98.91462764381777,26.43778674876316,55.38,502.26999,9336,NA,NA,NA,NA,NA,NA,NA,0.811,87,2207,39.420027186225646
Texas,2020,1.122939655891264,0.3057508964060372,98.48213185880678,5.522973010534508,20.41,537.77002,8406,NA,NA,NA,NA,NA,NA,NA,0.81,110,1987,55.359838953195776
Utah,2020,2.8922944096697605,2.4174401036045756,98.65843270868824,15.670192100151093,35.46,294.17999,7522,NA,NA,NA,NA,NA,NA,NA,0.861,112,726,154.26997245179064
Vermont,2020,1.2355848434925865,0.8237232289950577,98.04159095497678,8.031301482701812,52.61,688.54999,12756,NA,NA,NA,NA,NA,NA,NA,0.896,4,39,102.56410256410255
Virginia,2020,1.5171711260660836,0.4876621476640983,97.29139868840016,11.237903269503777,36.26,493.47,9195,NA,NA,NA,NA,NA,NA,NA,0.838,45,1037,43.39440694310511
Washington,2020,1.970710317900208,1.3302294645826405,99.19000146606068,7.882841271600832,47.95,489.01001,9265,NA,NA,NA,NA,NA,NA,NA,0.933,108,640,168.75
West Virginia,2020,0.5017002062545292,0.3902112715313006,98.4685475902953,20.84843079324377,62.83,410.16,12769,NA,NA,NA,NA,NA,NA,NA,0.736,7,374,18.71657754010695
Wisconsin,2020,1.9451962110960757,1.0487144790257104,98.22229606246886,8.491204330175913,17.67,672.51001,9982,NA,NA,NA,NA,NA,NA,NA,0.837,62,502,123.50597609561753
Wyoming,2020,2.5293586269196022,2.3486901535682025,98.48754448398576,6.504065040650406,28.74,650.07001,10989,NA,NA,NA,NA,NA,NA,NA,0.882,13,36,361.1111111111111
Alaska,2021,1.4717536510811728,0.6792709158836182,94.33942112570756,7.585191894033738,90.17,631.78003,NA,46198,732673,78.71919968724394,77845,123.63807280222892,71.14679537754675,0.118468,0.923,6,67,89.55223880597015
Arizona,2021,2.495061856741865,1.4424576359288908,98.05175775028351,5.990747478947916,15.32,510.72,NA,402255,7276316,85.06412845860285,69056,173.36170341499815,90.90436415906342,0.131488,0.845,111,461,240.7809110629067
Arkansas,2021,1.3932832138399465,1.0159356767582943,98.66540653549846,6.298801195901425,42.94,433.13,NA,179924,3025891,57.7770299828381,52528,223.80783407802215,116.3996805682901,0.116057,0.812,35,217,161.29032258064515
California,2021,2.1448397678526367,1.6134824045497778,99.51852728264912,4.2387274597721225,78.47,591.76001,NA,2210235,39237836,34.64539490367846,84907,157.98408608586726,89.76891786669128,0.085697,0.889,665,1747,380.65254722381223
